Date,kWh,Building,Hour
2025-09-03 13:56:07.309397,334.2,Science_Block,13
2025-09-04 13:56:07.309397,277.83,Science_Block,13
2025-09-05 13:56:07.309397,306.34,Science_Block,13
2025-09-06 13:56:07.309397,202.95,Science_Block,13
2025-09-07 13:56:07.309397,203.73,Science_Block,13
2025-09-08 13:56:07.309397,336.27,Science_Block,13
2025-09-09 13:56:07.309397,331.61,Science_Block,13
2025-09-10 13:56:07.309397,260.28,Science_Block,13
2025-09-11 13:56:07.309397,339.61,Science_Block,13
2025-09-12 13:56:07.309397,292.47,Science_Block,13
2025-09-13 13:56:07.309397,164.27,Science_Block,13
2025-09-14 13:56:07.309397,182.44,Science_Block,13
2025-09-15 13:56:07.309397,280.02,Science_Block,13
2025-09-16 13:56:07.309397,347.76,Science_Block,13
2025-09-17 13:56:07.309397,258.02,Science_Block,13
2025-09-18 13:56:07.309397,254.21,Science_Block,13
2025-09-19 13:56:07.309397,259.16,Science_Block,13
2025-09-20 13:56:07.309397,155.12,Science_Block,13
2025-09-21 13:56:07.309397,160.43,Science_Block,13
2025-09-22 13:56:07.309397,303.5,Science_Block,13
2025-09-23 13:56:07.309397,331.2,Science_Block,13
2025-09-24 13:56:07.309397,329.91,Science_Block,13
2025-09-25 13:56:07.309397,330.94,Science_Block,13
2025-09-26 13:56:07.309397,346.67,Science_Block,13
2025-09-27 13:56:07.309397,159.56,Science_Block,13
2025-09-28 13:56:07.309397,197.84,Science_Block,13
2025-09-29 13:56:07.309397,315.09,Science_Block,13
2025-09-30 13:56:07.309397,339.06,Science_Block,13
2025-10-01 13:56:07.309397,308.86,Science_Block,13
2025-10-02 13:56:07.309397,250.22,Science_Block,13
2025-10-03 13:56:07.309397,343.82,Science_Block,13
2025-10-04 13:56:07.309397,183.34,Science_Block,13
2025-10-05 13:56:07.309397,190.23,Science_Block,13
2025-10-06 13:56:07.309397,310.91,Science_Block,13
2025-10-07 13:56:07.309397,309.95,Science_Block,13
2025-10-08 13:56:07.309397,312.16,Science_Block,13
2025-10-09 13:56:07.309397,271.64,Science_Block,13
2025-10-10 13:56:07.309397,325.25,Science_Block,13
2025-10-11 13:56:07.309397,203.86,Science_Block,13
2025-10-12 13:56:07.309397,184.9,Science_Block,13
2025-10-13 13:56:07.309397,270.54,Science_Block,13
2025-10-14 13:56:07.309397,278.23,Science_Block,13
2025-10-15 13:56:07.309397,328.89,Science_Block,13
2025-10-16 13:56:07.309397,272.97,Science_Block,13
2025-10-17 13:56:07.309397,294.68,Science_Block,13
2025-10-18 13:56:07.309397,174.78,Science_Block,13
2025-10-19 13:56:07.309397,173.21,Science_Block,13
2025-10-20 13:56:07.309397,284.68,Science_Block,13
2025-10-21 13:56:07.309397,324.88,Science_Block,13
2025-10-22 13:56:07.309397,292.42,Science_Block,13
2025-10-23 13:56:07.309397,289.63,Science_Block,13
2025-10-24 13:56:07.309397,333.44,Science_Block,13
2025-10-25 13:56:07.309397,198.21,Science_Block,13
2025-10-26 13:56:07.309397,177.76,Science_Block,13
2025-10-27 13:56:07.309397,301.01,Science_Block,13
2025-10-28 13:56:07.309397,269.43,Science_Block,13
2025-10-29 13:56:07.309397,323.8,Science_Block,13
2025-10-30 13:56:07.309397,273.09,Science_Block,13
2025-10-31 13:56:07.309397,307.24,Science_Block,13
2025-11-01 13:56:07.309397,191.71,Science_Block,13
2025-11-02 13:56:07.309397,179.86,Science_Block,13
2025-11-03 13:56:07.309397,322.95,Science_Block,13
2025-11-04 13:56:07.309397,260.06,Science_Block,13
2025-11-05 13:56:07.309397,276.32,Science_Block,13
2025-11-06 13:56:07.309397,281.42,Science_Block,13
2025-11-07 13:56:07.309397,341.91,Science_Block,13
2025-11-08 13:56:07.309397,158.41,Science_Block,13
2025-11-09 13:56:07.309397,180.69,Science_Block,13
2025-11-10 13:56:07.309397,254.1,Science_Block,13
2025-11-11 13:56:07.309397,261.72,Science_Block,13
2025-11-12 13:56:07.309397,276.22,Science_Block,13
2025-11-13 13:56:07.309397,302.11,Science_Block,13
2025-11-14 13:56:07.309397,342.5,Science_Block,13
2025-11-15 13:56:07.309397,164.09,Science_Block,13
2025-11-16 13:56:07.309397,163.27,Science_Block,13
